	Hours	PBS	KK03	KK03ΔrtxA	KK03ΔΔrtxA
KK03	6		1		
KK03	6		1		
KK03	6		1		
KK03	6		1		
KK03	6		1		
KK03	6		1		
KK03	6		1		
KK03	6		1		
KK03	24		1		
KK03ΔrtxA	6			1	
KK03ΔrtxA	6			1	
KK03ΔrtxA	6			1	
KK03ΔrtxA	6			1	
KK03ΔrtxA	6			1	
KK03ΔrtxA	6			1	
KK03ΔrtxA	6			1	
KK03ΔrtxA	6			1	
KK03ΔrtxA	6			1	
KK03ΔΔrtxA	102				0
KK03ΔΔrtxA	102				0
KK03ΔΔrtxA	102				0
KK03ΔΔrtxA	102				0
KK03ΔΔrtxA	102				0
KK03ΔΔrtxA	102				0
KK03ΔΔrtxA	102				0
KK03ΔΔrtxA	102				0
KK03ΔΔrtxA	102				0
PBS	102	0			
PBS	102	0			
PBS	102	0			
PBS	102	0			
PBS	102	0			
PBS	102	0			
PBS	102	0			
PBS	102	0			
PBS	102	0			
