	Hours	PBS	PYKK081	PYKK081ΔrtxA	PYKK081ΔrtxAcomprtxA
PYKK081	7		1		
PYKK081	7		1		
PYKK081	7		1		
PYKK081	7		1		
PYKK081	7		1		
PYKK081	7		1		
PYKK081	7		1		
PYKK081	24		1		
PYKK081	48		1		
81ΔrtxA	120			0	
81ΔrtxA	120			0	
81ΔrtxA	120			0	
81ΔrtxA	120			0	
81ΔrtxA	120			0	
81ΔrtxA	120			0	
81ΔrtxA	120			0	
81ΔrtxA	120			0	
81ΔrtxA	120			0	
81ΔrtxAcomprtxA	7				1
81ΔrtxAcomprtxA	7				1
81ΔrtxAcomprtxA	7				1
81ΔrtxAcomprtxA	7				1
81ΔrtxAcomprtxA	7				1
81ΔrtxAcomprtxA	7				1
81ΔrtxAcomprtxA	7				1
81ΔrtxAcomprtxA	7				1
81ΔrtxAcomprtxA	7				1
